name,begin,end,country
Guillaume Dufay,1400,1474,Belgium
Johannes Ockeghem,1420,1497,Belgium
Josquin Des Prez,1450,1521,France
Alexander Agricola,1446,1506,Belgium
Jean Mouton,1459,1522,France
Pierre de la Rue,1460,1518,Belgium
Robert Fayrfax,1464,1521,United Kingdom
Francisco de Peñalosa,1470,1528,Spain
Robert Carver,1485,1570,United Kingdom
Clément Janequin,1485,1558,France
Francesco Canova da Milano,1497,1543,Italy
Jacques Arcadelt,1507,1568,Belgium
Thomas Tallis,1505,1585,United Kingdom
Giovanni Perluigi Palestrina,1525,1594,Italy
Francesco Guerrero,1527,1599,Spain
Orlando de Lassus,1532,1594,Belgium
Francesco Soto de Langa,1534,1619,Spain
Gioseffo Guami,1542,1611,Italy
William Byrd,1549,1623,United Kingdom
François-Eustache Du Caurroy,1549,1609,France
Hieronymus Praetorius,1560,1629,Germany
John Dowland,1563,1626,United Kingdom
Frei Manuel Cardoso,1566,1650,Portugal
Claudio Giovanni Antonio Monteverdi,1567,1643,Italy
Thomas Simpson,1582,1628,United Kingdom
Petronio Franceschini,1650,1680,Italy
Arcangelo Corelli,1653,1713,Italy
Henry Purcell,1659,1695,United Kingdom
Alessandro Scarlatti,1660,1725,Italy
Tomaso Albinoni,1671,1750,Italy
Antonio Lucio Vivaldi,1678,1741,Italy
Georg Philipp Telemann,1681,1767,Germany
Jean-Philippe Rameau,1683,1764,France
Giuseppe Matteo Alberti,1685,1751,Italy
George Frideric Handel,1685,1759,Germany
Johann Sebastian Bach,1685,1750,Germany
Giuseppe Domenico Scarlatti,1685,1757,Italy
Johann Friedrich Fasch,1688,1758,Germany
Jean Jacques-Christophe Naudot,1690,1762,France
Johann Adolph Hasse,1699,1783,Germany
Wilhelm Friedemann Bach,1710,1784,Germany
Carl Philipp Emanuel Bach,1714,1788,Germany
Christoph Willibald Ritter von Gluck,1714,1787,Germany
Johann Georg Leopold Mozart,1719,1787,Germany
Johann Ernst Bach,1722,1777,Germany
Johann Gottlieb Goldberg,1727,1756,Germany
Franz Joseph Haydn,1732,1806,Austria
Johann Christoph Friedrich Bach,1732,1795,Germany
Johann Christian Bach,1735,1782,Germany
Antonio Salieri,1750,1825,Italy
Muzio Clementi,1752,1832,Italy
Wolfgang Amadeus Mozart,1756,1791,Austria
Franz Xaver Sussmayr,1766,1803,Austria
Bedřich Dionys Weber,1766,1842,Czechia
Ludwig Van Beethoven,1770,1827,Germany
Niccolo Paganini,1782,1840,Italy
Carl Maria von Weber,1786,1826,Germany
Gioachino Antonio Rossini,1792,1868,Italy
Franz Peter Schubert,1797,1828,Austria
Domenico Gaetano Maria Donizetti,1797,1848,Italy
Vincenzo Bellini,1801,1835,Italy
Louis-Hector Berlioz,1803,1869,France
Johann Strauss I,1804,1849,Austria
Jacob Ludwig Felix Mendelssohn,1809,1847,Germany
Frederic Chopin,1810,1849,Poland
Robert Alexander Schumann,1810,1856,Germany
Franz Liszt,1811,1886,Austria
Wilhelm Richard Wagner,1813,1883,Germany
Giuseppe Fortunino Frencesco Verdi,1813,1901,Italy
Charles François Gounod,1818,1893,France
Jacques Offenbach,1819,1880,Germany
Clara Wieck Schumann,1819,1896,Germany
Cesar Franck,1822,1890,Belgium
Anton Joseph Bruckner,1824,1896,Austria
Johann Strauss II,1825,1899,Austria
Johannes Brahms,1833,1897,Germany
Eduard Strauss,1835,1916,Austria
Georges Bizet,1838,1875,France
Modest Petrovich Mussorgsky,1839,1881,Russia
Peter Ilyich Tchaikovsky,1840,1893,Russia
Antonín Dvorak,1841,1904,Czechia
Jules Massenet,1842,1912,France
Edvard Hagerup Grieg,1843,1907,Norway
Gabriel-Urbain Fauré,1845,1924,France
Sir Edward William Elgar,1857,1934,United Kingdom
Giacomo Puccini,1858,1924,Italy
Gustav Mahler,1860,1911,Czechia
Achille-Claude Debussy,1862,1918,France
Richard Strauss,1864,1949,Germany
Jean Sibelius,1865,1957,Finland
Erik Satie,1866,1925,France
Siegfried Wagner,1869,1930,Germany
Alexander Nikolaevich Scriabin,1872,1915,Russia
Ralph Vaughan Williams,1872,1958,United Kingdom
Sergei Vasilievitch Rachmaninoff,1873,1943,Russia
Arnold Franz Walter Schoenberg,1874,1951,Austria
Gustav Theodore Holst,1874,1934,United Kingdom
Charles Edward Ives,1874,1954,United States
Joseph Maurice Ravel,1875,1937,France
Béla Bartók,1881,1945,Romania
Artur Schnabel,1882,1951,Czechia
Igor Stravinsky,1882,1971,Russia
Zóltan Kodály,1882,1967,Hungary
Anton Friedrich Wilhelm von Webern,1883,1945,Austria
Alban Berg,1885,1935,Austria
Sergei Sergeyevich Prokofieff,1891,1953,Ukraine
