genre,city,state,country,lat,lng
bergen,Bergen,Hordaland,Norway,60.391,5.3245
malmo,Malmö,Skåne,Sweden,55.5833,13.0333
lund,Lund,Skåne,Sweden,55.7047,13.1910
stockholm,Stockholm,Stockholm,Sweden,59.3508,18.0973
gothenburg,Göteborg,Västra Götaland,Sweden,57.75,12.0
vienna,Vienna,Wien,Austria,48.2,16.3666
athens,Athens,Georgia,United States,33.962034,-83.367801
rome,Rome,Lazio,Rome,41.896,12.4833
hong kong,Hong Kong,None,Hong Kong,22.305,114.185
singaporean,Singapore,None,Singapore,1.293,103.8558
shibuya-kei,Tokyo,Tōkyō,Japan,35.685,139.7514
manila,Manila,None,Philippines,14.6042,120.9822
concepcion,Concepción,Concepción,Chile,-23.4064,-57.4344
oaxaca,Oaxaca,Oaxaca,Mexico,17.0827,-96.6699
tijuana,Tijuana,Baja California,Mexico,32.5,-117.08
chihuahua,Chihuahua,Chihuahua,Mexico,28.645,-106.085
monterrey,Monterrey,Nuevo León,Mexico,25.67,-100.33
bollywood,Mumbai,Mahārāshtra,India,19.017,72.857
cape town,Cape Town,Western Cape,South Africa,-33.92,18.435
melbourne,Melbourne,Victoria,Australia,-37.82,144.975
canberra,Canberra,Australian Capital Territory,Australia,-35.283,149.129
sydney,Sydney,New South Wales,Australia,-33.92,151.1852
manchester,Manchester,Manchester,United Kingdom,53.5004,-2.248
perth,Perth,Western Australia,Australia,-31.955,115.84
brisbane,Brisbane,Queensland,Australia,-27.455,153.0351
aberdeen,Aberdeen,Aberdeen City,United Kingdom,57.1704,-2.08
glasgow,Glasgow,Glasgow City,United Kingdom,55.8744,-4.2507
edinburgh,Edinburgh,Edinburgh,United Kingdom,55.9483,-3.2191
nottingham,Nottingham,Nottingham,United Kingdom,52.9703,-1.17
southampton,Southampton,Southampton,United Kingdom,50.9,-1.4
leeds,Leeds,Leeds,United Kingdom,53.83,-1.58
liverpool,Liverpool,Liverpool,United Kingdom,53.416,-2.918
bristol,Bristol,Bristol,United Kingdom,51.45,-2.5833
sheffield,Sheffield,Sheffield,United Kingdom,53.3667,-1.5
oxford,Oxford,Oxfordshire,United Kingdom,51.7704,-1.25
brighton,Brighton,Brighton and Hove,United Kingdom,50.8303,-0.17
canterbury,Canterbury,Canterbury,United Kingdom,51.2804,1.0789
leicester,Leicester,Leicester,United Kingdom,52.63,-1.1332
houston,Houston,Texas,United States,29.7871,-95.3936
bay area,San Francisco,California,United States,37.7561,-122.4429
nashville,Nashville,Tennessee,United States,36.1714,-86.7844
vegas,Las Vegas,Nevada,United States,36.2288,-115.2603 
slc,Salt Lake City,Utah,United States,40.7774,-111.9301
charlotte nc,Charlotte,North Carolina,United States,35.208,-80.8308
buffalo ny,Buffalo,New York,United States,42.9016,-78.8487
lancaster pa,Lancaster,Pennsylvania,United States,40.0421,-76.3012
cleveland,Cleveland,Ohio,United States,41.4766,-81.6805
birmingham,Birmingham,Alabama,United States,33.5276,-86.7986 
albuquerque,Albuquerque,New Mexico,United States,35.1055,-106.6476
cincinnati,Cincinnati,Ohio,United States,39.1412,-84.506
jacksonville,Jacksonville,Florida,United States,30.3322,-81.6749
chicago,Chicago,Illinois,United States,41.8373,-87.6861
milwaukee,Milwaukee,Wisconsin,United States,43.064,-87.9669
baltimore,Baltimore,Maryland,United States,39.3051,-76.6144
grand rapids,Grand Rapids,Minnesota,United States,42.9615,-85.6557
detroit,Detroit,Michigan,United States,42.3834,-83.1024
portland,Portland,Oregon,United States, 45.5372,-122.6500
pittsburgh,Pittsburgh,Pennsylvania,United States,40.4396,-79.9763
el paso,El Paso,Texas,United States,31.8478,-106.431
lawrence ks,Lawrence,Kansas,United States,38.9603,-95.2643 
memphis,Memphis,Tennessee,United States,35.1047,-89.9773
gainesville,Gainesville,Florida,United States,29.6814,-82.3454
kc,Kansas City,Missouri,United States,39.1239,-94.5541
minneapolis,Minneapolis,Minnesota,United States,44.9635,-93.2679
twin cities,Saint Paul,Minnesota,United States,44.9477,-93.104
san diego,San Diego,California,United States,32.8312,-117.1225
albany ny,Albany,New York,United States,42.6664,-73.7987
miami,Miami,Florida,United States,25.784,-80.2102
san antonio,San Antonio,Texas,United States,29.4722,-98.5247
denver,Denver,Colorado,United States,39.7621,-104.8759
dallas,Dallas,Texas,United States,32.7938,-96.7659
new orleans,New Orleans,Louisiana,United States,30.0687,-89.9288
stl,Saint Louis,Missouri,United States,38.6358,-90.2451
orlando,Orlando,Florida,United States,28.4801,-81.3448
boston,Boston,Massachusetts,United States,42.3189,-71.0838
nc,North Carolina,North Carolina,United States,35.8323,-78.6441
dc,Washington,District of Columbia,United States,38.9047,-77.0163
louisville,Louisville,Kentucky,United States,38.1662,-85.6488
nyc,New York,New York,United States,40.6943,-73.9249
seattle,Seattle,Washington,United States,47.6217,-122.3238
philly,Philadelphia,Pennsylvania,United States,40.0076,-75.134
austindie,Austin,Texas,United States,30.3038,-97.7545
omaha,Omaha,Nebraska,United States,41.2634,-96.0453
nyhc,New York,New York,United States,40.6943,-73.9249
